"State","Occupation","Pixels","State.Pixels","PixPercent","Number","CensusPercent"
"Montana","School",NA,NA,NA,919,4.83650118647652
"Montana","Unaccounted",NA,NA,NA,4034.33928571429,21.2318680544135
"New Mexico","Agriculture",NA,NA,NA,18668,30.7700128187092
"New Mexico","Manufacturing",NA,NA,NA,2295,3.78279298365854
"New Mexico","Trade",NA,NA,NA,863,1.4224620239204
"New Mexico","Service",NA,NA,NA,7535,12.4197582273931
"New Mexico","School",NA,NA,NA,1880,3.09875852256125
"New Mexico","Unaccounted",NA,NA,NA,29428.4579881657,48.5062154237575
"Utah","Agriculture",NA,NA,NA,10428,18.6532447322806
"Utah","Manufacturing",NA,NA,NA,4107,7.34645915952017
"Utah","Trade",NA,NA,NA,1665,2.97829425385953
"Utah","Service",NA,NA,NA,5317,9.51086519385652
"Utah","School",NA,NA,NA,14625,26.1606927703877
"Utah","Unaccounted",NA,NA,NA,19762.4828375286,35.3504438900955
"Washington","Agriculture",NA,NA,NA,3771,21.7813530728025
"Washington","Manufacturing",NA,NA,NA,2653,15.3237681522528
"Washington","Trade",NA,NA,NA,1129,6.52112108703105
"Washington","Service",NA,NA,NA,2207,12.7476654021944
"Washington","School",NA,NA,NA,3532,20.4008854556188
"Washington","Unaccounted",NA,NA,NA,4020.97402597403,23.2252068301004
"Wyoming","Agriculture",NA,NA,NA,165,1.89577914956287
"Wyoming","Manufacturing",NA,NA,NA,1664,19.1186454840765
"Wyoming","Trade",NA,NA,NA,1646,18.9118332132151
"Wyoming","Service",NA,NA,NA,3170,36.421938812814
"Wyoming","School",NA,NA,NA,364,4.18220369964173
"Wyoming","Unaccounted",NA,NA,NA,1694.54545454545,19.4695996406898
